rownum,value
666,"Factory Tuner,Luxury,High-Performance"
1,"Luxury,Performance"
2,"Luxury,High-Performance"
3,Luxury
4,Performance
5,Flex Fuel
6,"Flex Fuel,Performance"
7,Hatchback
8,"Hatchback,Luxury,Performance"
9,"Hatchback,Luxury"
10,"Luxury,High-Performance,Hybrid"
11,"Diesel,Luxury"
12,"Hatchback,Performance"
13,"Hatchback,Factory Tuner,Performance"
14,High-Performance
15,"Factory Tuner,High-Performance"
16,"Exotic,High-Performance"
17,"Exotic,Factory Tuner,High-Performance"
18,"Factory Tuner,Performance"
19,Crossover
20,"Exotic,Luxury"
21,"Exotic,Luxury,High-Performance"
22,"Exotic,Luxury,Performance"
23,"Factory Tuner,Luxury,Performance"
24,"Flex Fuel,Luxury"
25,"Crossover,Luxury"
26,"Hatchback,Factory Tuner,Luxury,Performance"
27,"Crossover,Hatchback"
28,Hybrid
29,"Luxury,Performance,Hybrid"
30,"Crossover,Luxury,Performance,Hybrid"
31,"Crossover,Luxury,Performance"
32,"Exotic,Factory Tuner,Luxury,High-Performance"
33,"Flex Fuel,Luxury,High-Performance"
34,"Crossover,Flex Fuel"
35,Diesel
36,"Hatchback,Diesel"
37,"Crossover,Luxury,Diesel"
38,"Crossover,Luxury,High-Performance"
39,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance"
40,"Exotic,Flex Fuel,Luxury,High-Performance"
41,"Exotic,Factory Tuner,Luxury,Performance"
42,"Hatchback,Hybrid"
43,"Crossover,Hybrid"
44,"Hatchback,Luxury,Hybrid"
45,"Flex Fuel,Luxury,Performance"
46,"Crossover,Performance"
47,"Luxury,Hybrid"
48,"Crossover,Flex Fuel,Luxury,Performance"
49,"Crossover,Flex Fuel,Luxury"
50,"Crossover,Flex Fuel,Performance"
51,"Hatchback,Factory Tuner,High-Performance"
52,"Hatchback,Flex Fuel"
53,"Factory Tuner,Luxury"
54,"Crossover,Factory Tuner,Luxury,High-Performance"
55,"Crossover,Factory Tuner,Luxury,Performance"
56,"Crossover,Hatchback,Factory Tuner,Performance"
57,"Crossover,Hatchback,Performance"
58,"Flex Fuel,Hybrid"
59,"Flex Fuel,Performance,Hybrid"
60,"Crossover,Exotic,Luxury,High-Performance"
61,"Crossover,Exotic,Luxury,Performance"
62,"Exotic,Luxury,High-Performance,Hybrid"
63,"Crossover,Luxury,Hybrid"
64,"Flex Fuel,Factory Tuner,Luxury,High-Performance"
65,"Performance,Hybrid"
66,"Crossover,Factory Tuner,Performance"
67,"Crossover,Diesel"
68,"Flex Fuel,Diesel"
69,"Crossover,Hatchback,Luxury"
