rownum, value
0,BMW
1,Audi
2,FIAT
3,Mercedes-Benz
4,Chrysler
5,Nissan
6,Volvo
7,Mazda
8,Mitsubishi
9,Ferrari
10,Alfa Romeo
11,McLaren
12,Maybach
13,Porsche
14,Toyota
15,Saab
16,GMC
17,Hyundai
18,Honda
19,Cadillac
20,Bentley
21,Ford
22,Oldsmobile
23,Chevrolet
24,Dodge
25,Lamborghini
26,Lincoln
27,Pontiac
28,Subaru
29,Volkswagen
30,Spyker
31,Kia
32,Acura
33,Plymouth
34,Rolls-Royce
35,Maserati
36,Lexus
37,Aston Martin
38,Land Rover
39,Lotus
40,Buick
41,Infiniti
42,Scion
43,Genesis
44,Suzuki
45,HUMMER
46,Bugatti
