rownum, value,id
0,BMW,123
1,Audi,124
2,FIAT,125
3,Mercedes-Benz,126
4,Chrysler,127
5,Nissan,128
6,Volvo,129
7,Mazda,130
8,Mitsubishi,131
9,Ferrari,132
10,Alfa Romeo,133
11,McLaren,134
12,Maybach,135
13,Porsche,136
14,Toyota,137
15,Saab,138
16,GMC,139
17,Hyundai,140
18,Honda,141
19,Cadillac,142
20,Bentley,143
21,Ford,144
22,Oldsmobile,145
23,Chevrolet,146
24,Dodge,147
25,Lamborghini,148
26,Lincoln,149
27,Pontiac,150
28,Subaru,151
29,Volkswagen,152
30,Spyker,153
31,Kia,154
32,Acura,155
33,Plymouth,156
34,Rolls-Royce,157
35,Maserati,158
36,Lexus,159
37,Aston Martin,160
38,Land Rover,161
39,Lotus,162
40,Buick,163
41,Infiniti,164
42,Scion,165
43,Genesis,166
44,Suzuki,167
45,HUMMER,168
46,Bugatti,169
